procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 372172  31640 431992    0    0     0     0 2841  665  8 17 75  0  0
 1  0    512 372172  31640 431992    0    0     0     0 2899  792  9 17 73  0  0
 1  0    512 372172  31640 431992    0    0     0     0 2788  649  8 18 74  0  0
 1  0    512 372172  31640 431992    0    0     0     0 2928  820  9 17 73  0  0
 1  0    512 372172  31640 431992    0    0     0     0 2988  914 14 14 72  0  0
 1  0    512 372172  31648 431988    0    0     0    16 2918  880 11 15 74  0  0
 1  0    512 372172  31648 431988    0    0     0     0 2672  423 10 16 74  0  0
 1  0    512 372172  31648 431988    0    0     0     0 2686  452 12 14 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 372172  31648 431988    0    0     0     0 2643  379 10 16 75  0  0
 1  0    512 372172  31648 431988    0    0     0     0 2669  404 11 15 74  0  0
 1  0    512 372172  31648 431988    0    0     0     0 2692  473  7 18 75  0  0
 1  0    512 372172  31656 431980    0    0     0    12 2750  551  9 17 74  0  0
 2  0    512 372172  31656 431980    0    0     0     0 2844  728  9 17 74  0  0
 1  0    512 372172  31656 431980    0    0     0     0 3002  981 11 16 73  0  0
 1  0    512 372172  31656 431980    0    0     0     0 3001  949 12 16 72  0  0
 2  0    512 372172  31656 431988    0    0     0     8 2807  660  9 17 74  0  0
 1  0    512 372172  31664 431992    0    0     0    20 2794  633  9 18 74  0  0
 1  0    512 372172  31664 431992    0    0     0     0 2994  949 10 17 73  0  0
 1  0    512 372172  31664 431992    0    0     0     0 2958  904 10 17 73  0  0
 1  0    512 372172  31664 431992    0    0     0     0 2754  537  7 19 74  0  0
 1  0    512 372172  31664 431992    0    0     0     0 2845  674 10 18 73  0  0
 1  0    512 372172  31664 431992    0    0     0     0 2841  708 12 14 73  0  0
 1  0    512 372172  31672 431984    0    0     0    12 2676  428  9 18 74  0  0
 1  0    512 372172  31672 431984    0    0     0     0 3095 1154 11 16 73  0  0
 1  0    512 372172  31672 431984    0    0     0     0 2861  756 11 16 74  0  0
 1  0    512 372172  31672 431984    0    0     0     0 2964  910 10 17 73  0  0
 1  0    512 372172  31672 431984    0    0     0     0 3066 1145 10 17 73  0  0
 1  0    512 372172  31672 431984    0    0     0     0 2873  735 12 15 73  0  0
 1  0    512 372172  31680 431976    0    0     0    12 2920  824 10 18 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 372172  31680 431992    0    0     0     0 2797  641 10 17 73  0  0
